Title,Category,Type,Description,Application,Reference 
.yml, Developer Files, YAML Document, File created in the YAML (YAML Ain't Markup Language) format. a human-readable data format used for data serialization; allows data to be written and read independent of any particular language; can be incorporated into many different programming languages using supporting YAML libraries. including C/C++. Ruby. Python. Java. Perl. C#. PHP. and others., Alexander Blach Textastic Code Editor, https://fileinfo.com//extension/yml
.tpk, Developer Files, Gear Watchface Design Build File, A TPK file is a watchface design build created by Gear Watch Designer. an application used by developers to generate faces for Samsung watches such as Gear S. Gear S2. Gear S3. and Gear Fit2.  It contains a build of a .GWD watchface design project which includes the background. index. images. animation. and watch hands.  TPK files are designed to be uploaded to the Gear store for distribution., Samsung Gear Watch Designer|Samsung Gear Watch Designer, https://fileinfo.com//extension/tpk
.cd, Developer Files, Visual Studio Class Diagram, Developer file created by Visual Studio. a software development application; stores a diagram of classes and helps developers visualize the structure of source code; created by the Class Diagram editor in Visual Studio., Empty, https://fileinfo.com//extension/cd
.ocx, Developer Files, ActiveX Control, An OCX file contains a reusable software module. called an ActiveX control. which can be used within Windows software programs.  ActiveX controls can be created for various purposes. such as user interface forms. webpage widgets. online games. and multimedia viewers., Empty, https://fileinfo.com//extension/ocx
.fla, Developer Files, Adobe Animate Animation, An FLA file is an animation project created by Adobe Animate. a program used to draw and publish interactive animations.  It contains graphics. video. text elements. audio. and other assets.  FLA files are often saved as .SWF files for use on the web as they are viewable in most web browsers with the Flash plugin., Adobe Animate CC 2019|Adobe Animate CC 2019, https://fileinfo.com//extension/fla
.mfa, Developer Files, Multimedia Fusion Development File, Development file used by Multimedia Fusion and The Games Factory; contains source code generated by the development software; used for creating games and multimedia applications., Clickteam The Games Factory, https://fileinfo.com//extension/mfa
.vdproj, Developer Files, Visual Studio Setup and Deployment Project, Software development project created by Visual Studio. an application that allows developers to create Windows programs; stores project build settings and file references; often used for building and packaging Windows installation programs., Empty, https://fileinfo.com//extension/vdproj
.markdown, Developer Files, Markdown Documentation File, A MARKDOWN file is a text file created using one of several possible dialects of the Markdown language.  It uses plain text formatting but contains inline text symbols that specify how to format the text (e.g.. *bold* for bold text. or other markups for italics. indentation. headers. etc.).  MARKDOWN files are designed for writing documentation in plain text that can be easily converted to HTML., Daring Fireball Markdown|Daring Fireball Markdown|Daring Fireball Markdown|GitHub, https://fileinfo.com//extension/markdown
.frx, Developer Files, Visual Basic Binary Form File, Stores the binary information for a Visual Basic form. such as icons and graphics; similar to a .FRM file. but saves only binary data for forms created with Visual Basic; sometimes may be manually deleted if no binary data is saved., Microsoft Visual Basic 6, https://fileinfo.com//extension/frx
.rpy, Game Files, Python Script, Replay of a game played within one of the Touhou Project games. a series of Japanese scrolling shooter games; records the movements made during a game and can be replayed within the Touhou Project software., Twisted Matrix Labs Twisted Web|Twisted Matrix Labs Twisted Web|Twisted Matrix Labs Twisted Web, https://fileinfo.com//extension/rpy
.res, Settings Files, C++ Complied Resource Script, A RES file contains a resource list used by games developed by Valve. such as Half-Life 2 and Counter-Strike.   It accompanies a .BSP multiplayer map file and is used to store the locations of custom content added to enhance map gameplay. such as materials and textures for player skins.  RES files are saved in plain text., Valve Half-Life 2|Resource Hacker|ResEdit|LucasArts Star Wars: Knights of the Old Republic|Godot Engine|Godot Engine|Godot Engine, https://fileinfo.com//extension/res
.res, Settings Files, Windows Resource File, A RES file contains a resource list used by games developed by Valve. such as Half-Life 2 and Counter-Strike.   It accompanies a .BSP multiplayer map file and is used to store the locations of custom content added to enhance map gameplay. such as materials and textures for player skins.  RES files are saved in plain text., Valve Half-Life 2|Resource Hacker|ResEdit|LucasArts Star Wars: Knights of the Old Republic|Godot Engine|Godot Engine|Godot Engine, https://fileinfo.com//extension/res
.hpp, Developer Files, C++ Header File, Header file written in the C++ programming language; may contain data types. constants. and variables; can be inserted into a .CPP source code file using the #include directive; used for storing reusable components of code., BloodshedSoftware Dev-C++|Haluha Pearls, https://fileinfo.com//extension/hpp
.car, Data Files, Brew Component Application Resource File, Data file used by Car Explorer. a program designed for viewing information about different car models; saved in the eXtensible Car Description (XCD) format. a standardized specification for storing automobile data; includes information such as make and model. year. price. physical dimensions. and related images., Qualcomm Brew MP SDK|Qualcomm Brew MP SDK|Qualcomm Brew MP SDK, https://fileinfo.com//extension/car
